province,city_muni,year,ira
Abra,Bangued,1992,0
Abra,Bangued,1993,7.280949
Abra,Bangued,1994,10.311497
Abra,Bangued,1995,10.311497
Abra,Bangued,1996,12.43571
Abra,Bangued,1997,15.531566
Abra,Bangued,1998,16.796167
Abra,Bangued,1999,20.802681
Abra,Bangued,2000,25.225384
Abra,Bangued,2001,23.405775
Abra,Bangued,2002,31.55287748
Abra,Bangued,2003,32.407746
Abra,Bangued,2004,31.697966
Abra,Bangued,2005,34.236094
Abra,Bangued,2006,40.059389
Abra,Bangued,2007,41.325124
Abra,Bangued,2008,51.17913148
Abra,Bangued,2009,57.640021
Abra,Bangued,2010,61.136243
Abra,Bangued,2011,66.107814
Abra,Bangued,2012,64.205614
Abra,Bangued,2013,68.25489
Abra,Bangued,2014,77.222985
Abra,Bangued,2015,87.988928
Abra,Bangued,2016,96.897952
Abra,Boliney,1992,2.160132
Abra,Boliney,1993,0
Abra,Boliney,1994,5.166973
Abra,Boliney,1995,5.675715
Abra,Boliney,1996,5.675715
Abra,Boliney,1997,5.675715
Abra,Boliney,1998,9.834747
Abra,Boliney,1999,12.034697
Abra,Boliney,2000,14.637636
Abra,Boliney,2001,14.833847
Abra,Boliney,2002,18.61792163
Abra,Boliney,2003,19.11466136
Abra,Boliney,2004,18.143668
Abra,Boliney,2005,15.541636
Abra,Boliney,2006,22.99458659
Abra,Boliney,2007,23.631724
Abra,Boliney,2008,28.37258427
Abra,Boliney,2009,32.013946
Abra,Boliney,2010,33.877393
Abra,Boliney,2011,36.591124
Abra,Boliney,2012,35.367918
Abra,Boliney,2013,39.853946
Abra,Boliney,2014,45.0561
Abra,Boliney,2015,51.421188
Abra,Boliney,2016,56.574216
Abra,Bucay,1992,0
Abra,Bucay,1993,0
Abra,Bucay,1994,6.888276
Abra,Bucay,1995,6.888276
Abra,Bucay,1996,6.888276
Abra,Bucay,1997,6.888276
Abra,Bucay,1998,6.888276
Abra,Bucay,1999,13.724563
Abra,Bucay,2000,14.904821
Abra,Bucay,2001,17.510124
Abra,Bucay,2002,18.864933
Abra,Bucay,2003,18.83857405
Abra,Bucay,2004,18.116384
Abra,Bucay,2005,21.335824
Abra,Bucay,2006,24.205511
Abra,Bucay,2007,25.650552
Abra,Bucay,2008,30.146946
Abra,Bucay,2009,34.600998
Abra,Bucay,2010,36.443134
Abra,Bucay,2011,39.359261
Abra,Bucay,2012,38.13305
Abra,Bucay,2013,42.726816
Abra,Bucay,2014,48.180244
Abra,Bucay,2015,55.017792
Abra,Bucay,2016,60.53497
Abra,Bucloc,1992,1.564905
Abra,Bucloc,1993,0
Abra,Bucloc,1994,3.921072
Abra,Bucloc,1995,3.921072
Abra,Bucloc,1996,4.502845
Abra,Bucloc,1997,5.963232
Abra,Bucloc,1998,5.935493
Abra,Bucloc,1999,7.934552
Abra,Bucloc,2000,9.17040226
Abra,Bucloc,2001,9.381451
Abra,Bucloc,2002,10.79998705
Abra,Bucloc,2003,12.610746
Abra,Bucloc,2004,11.898088
Abra,Bucloc,2005,12.767355
Abra,Bucloc,2006,14.72864231
Abra,Bucloc,2007,15.365244
Abra,Bucloc,2008,18.39704951
Abra,Bucloc,2009,20.80567
Abra,Bucloc,2010,21.973197
Abra,Bucloc,2011,23.708239
Abra,Bucloc,2012,22.889935
Abra,Bucloc,2013,25.278828
Abra,Bucloc,2014,28.53288
Abra,Bucloc,2015,32.51184
Abra,Bucloc,2016,35.734824
Abra,Daguioman,1992,1.823584
Abra,Daguioman,1993,0
Abra,Daguioman,1994,4.198972
Abra,Daguioman,1995,4.531092
Abra,Daguioman,1996,5.024039
Abra,Daguioman,1997,6.332236
Abra,Daguioman,1998,6.951021
Abra,Daguioman,1999,8.499451
Abra,Daguioman,2000,9.914141
Abra,Daguioman,2001,9.468728
Abra,Daguioman,2002,13.21889287
Abra,Daguioman,2003,14.119324
Abra,Daguioman,2004,13.40694
Abra,Daguioman,2005,14.412063
Abra,Daguioman,2006,16.90987953
Abra,Daguioman,2007,17.432277
Abra,Daguioman,2008,20.226376
Abra,Daguioman,2009,23.765823
Abra,Daguioman,2010,25.162323
Abra,Daguioman,2011,27.174352
Abra,Daguioman,2012,26.237877
Abra,Daguioman,2013,28.903512
Abra,Daguioman,2014,32.66498
Abra,Daguioman,2015,37.271032
Abra,Daguioman,2016,40.996075
Abra,Danglas,1992,2.40808
Abra,Danglas,1993,0
Abra,Danglas,1994,5.59207
