province,city_muni,population,land_area
Abra,Boliney,3573,182.6286001745079
Abra,Bucay,17115,104.37939170186785
Abra,Bucloc,2501,51.26730786579586
Abra,Daguioman,2088,97.26907292501691
Abra,Danglas,4192,175.5603049169022
Abra,Dolores,11315,44.86204880394529
Abra,Lacub,3403,258.9457371670941
Abra,Lagangilang,14255,91.47800815323939
Abra,Lagayan,4499,144.0907614910901
Abra,Langiden,3198,98.61333968961213
Abra,La Paz,15437,55.14528239013034
Abra,Licuan-Baay,4689,305.5136687518032
Abra,Luba,6339,126.47937641952521
Abra,Malibcong,3428,241.79303993740677
Abra,Manabo,10761,83.28425094115514
Abra,Peñarrubia,6640,36.813505150161326
Abra,Pidigan,12185,58.0786483630545
Abra,Pilar,10223,92.1162590251476
Abra,Sallapadan,6622,111.15929458939912
Abra,San Isidro,4574,41.65448607694747
Abra,San Juan,9867,64.59608386544366
Abra,San Quintin,5438,62.229112689393205
Abra,Tayum,14467,46.08775618993267
Abra,Tineg,5097,753.9922937452493
Abra,Tubo,5699,438.1324807391777
Abra,Villaviciosa,5392,81.39691634871227
Agusan del Norte,Buenavista,61614,370.07979820905587
Agusan del Norte,Butuan City,337063,674.1587362551924
Agusan del Norte,Cabadbaran City,73639,345.6691594841673
Agusan del Norte,Carmen,20839,123.20666918867268
Agusan del Norte,Jabonga,23184,271.2545788484716
Agusan del Norte,Kitcharao,18659,123.03006004112521
Agusan del Norte,Las Nieves,28414,471.5690746121199
Agusan del Norte,Magallanes,21007,29.15470695916309
Agusan del Norte,Nasipit,41957,148.15142001062418
Agusan del Norte,Remedios T. Romualdez,16058,57.21279417114895
Agusan del Norte,Santiago,24200,219.39143029369532
Agusan del Norte,Tubay,24932,107.6718856990724
Agusan del Sur,Bayugan City,103202,329.78090267647104
Agusan del Sur,Bunawan,45151,611.9060325494863
Agusan del Sur,Esperanza,54801,855.5159683569824
Agusan del Sur,La Paz,28217,1028.9222687343379
Agusan del Sur,Loreto,42501,1304.635381008818
Agusan del Sur,Prosperidad,82631,607.6194922776555
Agusan del Sur,Rosario,46683,455.36250709682906
Agusan del Sur,San Francisco,74542,454.1346900323955
Agusan del Sur,San Luis,32109,1106.9441164156558
Agusan del Sur,Santa Josefa,26729,141.8669558086579
Agusan del Sur,Sibagat,30442,643.6731665106204
Agusan del Sur,Talacogon,38374,123.67954734151301
Agusan del Sur,Trento,51565,518.149995793537
Agusan del Sur,Veruela,43706,460.4148599577721
Aklan,Altavas,24619,105.42971267924136
